Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\041118MHMacropahges1-1\ChipRun.bml,1131264279,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/11/2018 8:43:59 PM,00:31:53,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,7wImac90,Unknown,1,ABCA1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A02,7wImac90,Unknown,1,CD164,Test,15.4727040289406,1,Pass,0.0139966567593099,81.3424901997957,999,1,
S48-A03,7wImac90,Unknown,1,CXCL10,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A04,7wImac90,Unknown,1,IL1A,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A05,7wImac90,Unknown,1,LYVE1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A06,7wImac90,Unknown,1,SPP1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A07,7wImac90,Unknown,1,B2M,Test,8.16628997728948,1,Pass,0.0139966567593099,81.6890575125919,999,1,
S48-A08,7wImac90,Unknown,1,PDL1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A09,7wImac90,Unknown,1,CXCL9,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A10,7wImac90,Unknown,1,IL1B,Test,15.0806283110515,1,Pass,0.0139966567593099,79.8735571043411,999,1,
S48-A11,7wImac90,Unknown,1,MDK,Test,18.1234857986474,1,Pass,0.0139966567593099,81.3524862333591,999,1,
S48-A12,7wImac90,Unknown,1,TLR4,Test,16.7617800269954,1,Pass,0.0139966567593099,79.4003098483839,999,1,
S48-A13,7wImac90,Unknown,1,CCL1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A14,7wImac90,Unknown,1,CD40,Test,15.4886074060014,1,Pass,0.0139966567593099,82.3177270929468,73.1409971426514,0.87368282630581,
S48-A15,7wImac90,Unknown,1,F4-80,Test,16.3267730520753,1,Pass,0.0139966567593099,82.1716001472187,999,1,
S48-A16,7wImac90,Unknown,1,IL6,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A17,7wImac90,Unknown,1,PDPN,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A18,7wImac90,Unknown,1,TPP1,Test,14.8784784411834,1,Pass,0.0139966567593099,80.8518790524195,999,1,
S48-A19,7wImac90,Unknown,1,CCL2,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A20,7wImac90,Unknown,1,CD74,Test,6.50837960960116,1,Pass,0.0139966567593099,80.9697950446065,999,1,
S48-A21,7wImac90,Unknown,1,FCGR3,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A22,7wImac90,Unknown,1,ITGAM,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A23,7wImac90,Unknown,1,PROX1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A24,7wImac90,Unknown,1,VEGFC,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A25,7wImac90,Unknown,1,CCL21A,Test,14.7051749150662,1,Pass,0.0139966567593099,78.2585353539375,999,1,
S48-A26,7wImac90,Unknown,1,CD80,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A27,7wImac90,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A28,7wImac90,Unknown,1,ITGAX,Test,14.8792352455767,1,Pass,0.0139966567593099,80.5776771307082,999,1,
S48-A29,7wImac90,Unknown,1,S1PR1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A30,7wImac90,Unknown,1,XCR1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A31,7wImac90,Unknown,1,CCL22,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A32,7wImac90,Unknown,1,CD86,Test,16.5844745166885,1,Pass,0.0139966567593099,80.4171364352961,999,1,
S48-A33,7wImac90,Unknown,1,H2-AA,Test,6.93633881699284,1,Pass,0.0139966567593099,85.0180629500681,999,1,
S48-A34,7wImac90,Unknown,1,LAMP2,Test,13.557800460852,1,Pass,0.0139966567593099,82.2567840720537,999,1,
S48-A35,7wImac90,Unknown,1,SELENOP,Test,12.520973997426,1,Pass,0.0139966567593099,81.2185500653003,999,1,
S48-A36,7wImac90,Unknown,1,blank1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S48-A37,7wImac90,Unknown,1,CCR7,Test,18.5460732480391,1,Pass,0.0139966567593099,82.0680673835417,999,1,
S48-A38,7wImac90,Unknown,1,CSF1R,Test,11.6487524730523,1,Pass,0.0139966567593099,82.3782304155675,999,1,
