Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\042518MHMacrophage1-2\ChipRun.bml,1131264276,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/24/2018 8:52:07 PM,00:30:44,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,heart,Unknown,1,ABCA1,Test,5.1758587068195,1,Pass,0.00565095684104357,78.1990439640247,999,1,
S48-A02,heart,Unknown,1,CD164,Test,2.5,0.166666666666667,Pass,0.00565095684104357,81.4080516147655,999,1,
S48-A03,heart,Unknown,1,CXCL10,Test,4.57577238390098,0.85859079463366,Pass,0.00565095684104357,82.2982430943813,999,1,
S48-A04,heart,Unknown,1,IL1A,Test,4.24505814028406,0.748352713428021,Pass,0.00565095684104357,78.893803741476,999,1,
S48-A05,heart,Unknown,1,LYVE1,Test,3.37627197228978,0.458757324096594,Pass,0.00565095684104357,81.6122498726892,999,1,
S48-A06,heart,Unknown,1,SPP1,Test,2.99017690630947,0.330058968769825,Pass,0.00565095684104357,80.64324719116,999,1,
S48-A07,heart,Unknown,1,B2M,Test,2.5,0.161328053010792,Pass,0.00565095684104357,81.8159923837914,999,1,
S48-A08,heart,Unknown,1,PDL1,Test,2.5,0.166666666666667,Pass,0.00565095684104357,82.8104726187396,999,1,
S48-A09,heart,Unknown,1,CXCL9,Test,6.3284270578854,1,Pass,0.00565095684104357,81.5576301254139,999,1,
S48-A10,heart,Unknown,1,IL1B,Test,2.98877134399838,0.329590447999461,Pass,0.00565095684104357,80.0212874886101,999,1,
S48-A11,heart,Unknown,1,MDK,Test,2.5,0.166666666666667,Pass,0.00565095684104357,81.6154622843891,999,1,
S48-A12,heart,Unknown,1,TLR4,Test,7.13681006069736,1,Pass,0.00565095684104357,79.6127058819764,999,1,
S48-A13,heart,Unknown,1,CCL1,Test,3.98741866273362,0.662472887577874,Pass,0.00565095684104357,80.2344616628093,999,1,
S48-A14,heart,Unknown,1,CD40,Test,3.395843183501,0.465281061166999,Pass,0.00565095684104357,82.3451681661026,999,1,
S48-A15,heart,Unknown,1,F4-80,Test,4.01788262293148,0.672627540977159,Pass,0.00565095684104357,82.1764750294166,999,1,
S48-A16,heart,Unknown,1,IL6,Test,18.996072963624,0.92660173529368,Pass,0.00565095684104357,78.6722322537238,999,1,
S48-A17,heart,Unknown,1,PDPN,Test,2.5,0.166666666666667,Pass,0.00565095684104357,84.3145587720192,999,1,
S48-A18,heart,Unknown,1,TPP1,Test,2.5,0.166666666666667,Pass,0.00565095684104357,80.9676778384081,999,1,
S48-A19,heart,Unknown,1,CCL2,Test,4.13193488061176,0.710644960203919,Pass,0.00565095684104357,81.1162788433842,999,1,
S48-A20,heart,Unknown,1,CD74,Test,2.5,0.166666666666667,Pass,0.00565095684104357,81.0900373605858,999,1,
S48-A21,heart,Unknown,1,FCGR3,Test,18.2181301429074,0.838778202216656,Pass,0.00565095684104357,81.6844031935585,999,1,
S48-A22,heart,Unknown,1,ITGAM,Test,6.03133488134341,1,Pass,0.00565095684104357,80.9291965484042,999,1,
S48-A23,heart,Unknown,1,PROX1,Test,3.38998562713527,0.463328542378423,Pass,0.00565095684104357,79.9271947105339,999,1,
S48-A24,heart,Unknown,1,VEGFC,Test,3.52153239056382,0.507177463521275,Pass,0.00565095684104357,81.218065956686,999,1,
S48-A25,heart,Unknown,1,CCL21A,Test,2.97577966157509,0.325259887191695,Pass,0.00565095684104357,78.3204011122312,999,1,
S48-A26,heart,Unknown,1,CD80,Test,7.44709932274112,1,Pass,0.00565095684104357,79.3069179289436,999,1,
S48-A27,heart,Unknown,1,VEGF-R3,Test,3.09384837928509,0.364616126428363,Fail,0.00565095684104357,83.0077466200795,76.5374214278588,0.924510986636321,
S48-A28,heart,Unknown,1,ITGAX,Test,5.18138772830403,1,Pass,0.00565095684104357,80.6267557427767,999,1,
S48-A29,heart,Unknown,1,S1PR1,Test,2.5,0.166666666666667,Pass,0.00565095684104357,86.3156643432081,999,1,
S48-A30,heart,Unknown,1,XCR1,Test,11.6219392234342,1,Pass,0.00565095684104357,82.3705158081453,999,1,
S48-A31,heart,Unknown,1,CCL22,Test,3.15175063358227,0.383916877860757,Pass,0.00565095684104357,81.3385718590027,999,1,
S48-A32,heart,Unknown,1,CD86,Test,8.66264270194287,1,Pass,0.00565095684104357,80.7471608873091,999,1,
S48-A33,heart,Unknown,1,H2-AA,Test,2.5,0.156663606820564,Pass,0.00565095684104357,85.0011142627896,999,1,
