Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\062618MHMacrophages3-2\ChipRun.bml,1131264280,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,6/25/2018 8:50:24 PM,00:30:45,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,noRT32,Unknown,1,ABCA1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A02,noRT32,Unknown,1,CD164,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A03,noRT32,Unknown,1,CXCL10,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A04,noRT32,Unknown,1,IL1A,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A05,noRT32,Unknown,1,LYVE1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A06,noRT32,Unknown,1,SPP1,Test,22.8293819878795,0,Fail,0.0141259454859772,999,83.5264893894541,0,
S48-A07,noRT32,Unknown,1,B2M,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A08,noRT32,Unknown,1,PDL1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A09,noRT32,Unknown,1,CXCL9,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A10,noRT32,Unknown,1,IL1B,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A11,noRT32,Unknown,1,MDK,Test,17.4769297400487,1,Pass,0.0141259454859772,81.1514531449681,999,1,
S48-A12,noRT32,Unknown,1,TLR4,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A13,noRT32,Unknown,1,CCL1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A14,noRT32,Unknown,1,CD40,Test,26.9843016330182,0,Fail,0.0141259454859772,999,73.2923408269729,0,
S48-A15,noRT32,Unknown,1,F4-80,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A16,noRT32,Unknown,1,IL6,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A17,noRT32,Unknown,1,PDPN,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A18,noRT32,Unknown,1,TPP1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A19,noRT32,Unknown,1,CCL2,Test,21.3411681870927,0,Fail,0.0141259454859772,999,85.2349491786194,0,
S48-A20,noRT32,Unknown,1,CD74,Test,25.420521696247,0,Fail,0.0141259454859772,999,77.5800769306055,0,
S48-A21,noRT32,Unknown,1,FCGR3,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A22,noRT32,Unknown,1,ITGAM,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A23,noRT32,Unknown,1,PROX1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A24,noRT32,Unknown,1,VEGFC,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A25,noRT32,Unknown,1,CCL21A,Test,15.9576326012589,1,Pass,0.0141259454859772,78.2670688912866,999,1,
S48-A26,noRT32,Unknown,1,CD80,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A27,noRT32,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A28,noRT32,Unknown,1,ITGAX,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A29,noRT32,Unknown,1,S1PR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A30,noRT32,Unknown,1,XCR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A31,noRT32,Unknown,1,CCL22,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A32,noRT32,Unknown,1,CD86,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A33,noRT32,Unknown,1,H2-AA,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A34,noRT32,Unknown,1,LAMP2,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A35,noRT32,Unknown,1,SELENOP,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A36,noRT32,Unknown,1,HIF1A,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A37,noRT32,Unknown,1,CCR7,Test,18.1813309769259,1,Pass,0.0141259454859772,82.1424325182025,999,1,
S48-A38,noRT32,Unknown,1,CSF1R,Test,18.820496561445,0,Fail,0.0141259454859772,999,85.2157175407819,0,
S48-A39,noRT32,Unknown,1,H2-DMA,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A40,noRT32,Unknown,1,LY6G,Test,999,0,Fail,0.0141259454859772,999,999,0,
S48-A41,noRT32,Unknown,1,SGPL1,Test,999,0,Fail,0.0141259454859772,999,999,0,
